Timestamp,What is your program?,What is your gender?,What is your AGE as of your last birthday?,What is your HEIGHT (to the nearest centimetre)?,What is your WEIGHT (to the nearest kilogram)?,What was your AVERAGE MONTHLY SALARY (to the nearest $100) at your last full time employment prior to enrolling at BCIT?,What MONTHLY SALARY (to the nearest $100) would you EXPECT if you were to seek employment immediately after obtaining your diploma?,"After graduation, for which one of the following TYPES OF ORGANIZATION would you most prefer to work?",Do you LIVE WITH YOUR PARENTS? ,What are your MONTHLY EXPENSES for FOOD and LODGING?,What MODE of TRANSPORT do you use most often to get to and from BCIT?,What is your COST per MONTH for TRANSPORTATION to and from BCIT?,What is your COST per MONTH for ENTERTAINMENT?,"Are you right-handed, Left-handed or ambidextrous?",What is your COST per MONTH for your CELL PHONE?,Do you SMOKE cigarettes? ,What is your foot size in INCHES?,How many alcoholic drinks do you have per week?,Do you have a tattoo?,"On average, how many hours per night do you sleep?",How much time in hours do you spend each week on social netorking sites?,How many hours per week do you spend studying/doing homework?,How many hours a week are you working (part-time or full-time employment) outside of BCIT?,Have you traveled outside of North America?,Do you pay entirely for your own tuition?,How many cups of coffee do you drink on average each day?,BMI
2019/09/09 7:14:35 pm GMT-7,BABI,Female,26,160.0,50.0,5200.0,5000.0,1. Large Corporation,Yes,1000.0,2. Public Transport,100.0,,0. Right-handed,100.0,No,no idea,20,No,7,15,2,40,Yes,No,0.0,19.531249999999996
2019/09/09 7:14:53 pm GMT-7,BABI,Male,29,180.0,65.0,4500.0,7000.0,1. Large Corporation,Yes,1000.0,3. Drive,,,0. Right-handed,50.0,No,10,0,No,7,5,10,40,Yes,Yes,3.0,20.061728395061728
2019/09/09 7:15:34 pm GMT-7,BABI,Male,22,175.0,59.0,2600.0,3000.0,1. Large Corporation,Yes,150.0,3. Drive,10.0,300.0,0. Right-handed,40.0,No,,3,No,8,21,2,40,Yes,No,3.0,19.26530612244898
2019/09/09 7:15:42 pm GMT-7,BABI,Female,27,166.0,70.0,1600.0,2300.0,3. Non-profit or Government Agency,Yes,200.0,2. Public Transport,60.0,70.0,0. Right-handed,45.0,No,11,0,No,7,10,0,40,Yes,No,3.0,25.402816083611555
2019/09/09 7:15:54 pm GMT-7,BABI,Male,29,171.0,64.0,1600.0,2000.0,3. Non-profit or Government Agency,No,1800.0,2. Public Transport,40.0,100.0,1. Left-handed,72.0,No,,3,Yes,7,5,,50,Yes,No,3.0,21.887076365377382
2019/09/09 7:15:58 pm GMT-7,BABI,Female,25,165.0,60.0,5000.0,5500.0,2. Small Company,No,2000.0,1. Walk,0.0,100.0,0. Right-handed,50.0,No,9 1/4,2,Yes,8,5,0,40,Yes,No,4.0,22.03856749311295
2019/09/09 7:16:01 pm GMT-7,BABI,Male,27,180.0,70.0,0.0,5000.0,2. Small Company,No,1200.0,1. Walk,0.0,,0. Right-handed,90.0,No,,10,No,7,1,10,40,Yes,Yes,0.0,21.604938271604937
2019/09/09 7:16:04 pm GMT-7,BABI,Male,24,175.0,108.0,,4500.0,3. Non-profit or Government Agency,Yes,400.0,2. Public Transport,30.0,50.0,0. Right-handed,55.0,No,"10 3/16""",0,No,5,50,0,35,Yes,Yes,,35.265306122448976
2019/09/09 7:16:10 pm GMT-7,BABI,Male,34,191.0,,8000.0,8000.0,1. Large Corporation,Yes,600.0,3. Drive,50.0,200.0,0. Right-handed,70.0,No,34.5,0,No,8,1,5,37.5,Yes,Yes,1.0,
2019/09/09 7:16:23 pm GMT-7,BABI,Female,26,171.0,60.0,5000.0,6000.0,1. Large Corporation,No,500.0,2. Public Transport,140.0,,0. Right-handed,70.0,No,9.6,10,No,7,5,5,5,Yes,Yes,1.0,20.519134092541297
2019/09/09 7:17:03 pm GMT-7,BABI,Male,28,178.0,86.0,4000.0,5000.0,2. Small Company,No,1200.0,2. Public Transport,40.0,300.0,0. Right-handed,50.0,No,13,5,No,7,7,10,40,Yes,Yes,2.0,27.143037495265748
2019/09/09 7:17:05 pm GMT-7,BABI,Male,40,150.0,70.0,4000.0,8000.0,2. Small Company,No,1800.0,2. Public Transport,100.0,10.0,2. Ambidextrous,40.0,Yes,10,2,Yes,8,2,0,30,Yes,Yes,1.0,31.11111111111111
2019/09/09 7:17:22 pm GMT-7,BABI,Male,32,180.0,86.0,2800.0,5500.0,2. Small Company,No,775.0,2. Public Transport,60.0,30.0,0. Right-handed,65.0,No,11,16,Yes,7,2,0,14,No,Yes,1.0,26.54320987654321
